"","period","mean","converge","signal","type","good"
"747",2,0.6,0,15,"RF_10","Incorrect consensus"
"748",3,0,0,15,"RF_10","Incorrect consensus"
"749",4,0,1,15,"RF_10","Incorrect consensus"
"750",5,0,1,15,"RF_10","Incorrect consensus"
"751",6,0,1,15,"RF_10","Incorrect consensus"
"752",7,0,1,15,"RF_10","Incorrect consensus"
"753",8,0,1,15,"RF_10","Incorrect consensus"
"754",9,0,1,15,"RF_10","Incorrect consensus"
"755",10,0,1,15,"RF_10","Incorrect consensus"
"756",11,0,1,15,"RF_10","Incorrect consensus"
"757",12,0,1,15,"RF_10","Incorrect consensus"
"758",1,0.9,NA,16,"RF_10","Correct consensus"
"759",2,1,0,16,"RF_10","Correct consensus"
"760",3,1,1,16,"RF_10","Correct consensus"
"761",4,1,1,16,"RF_10","Correct consensus"
"762",5,1,1,16,"RF_10","Correct consensus"
"763",6,1,1,16,"RF_10","Correct consensus"
"764",7,1,1,16,"RF_10","Correct consensus"
"765",8,1,1,16,"RF_10","Correct consensus"
"766",9,1,1,16,"RF_10","Correct consensus"
"767",10,1,1,16,"RF_10","Correct consensus"
"768",11,1,1,16,"RF_10","Correct consensus"
"769",12,1,1,16,"RF_10","Correct consensus"
"770",1,0.8,NA,17,"RF_10","Correct consensus"
"771",2,1,0,17,"RF_10","Correct consensus"
"772",3,1,1,17,"RF_10","Correct consensus"
"773",4,1,1,17,"RF_10","Correct consensus"
"774",5,1,1,17,"RF_10","Correct consensus"
"775",6,1,1,17,"RF_10","Correct consensus"
"776",7,1,1,17,"RF_10","Correct consensus"
"777",8,1,1,17,"RF_10","Correct consensus"
"778",9,1,1,17,"RF_10","Correct consensus"
"779",10,1,1,17,"RF_10","Correct consensus"
"780",11,1,1,17,"RF_10","Correct consensus"
"781",12,1,1,17,"RF_10","Correct consensus"
"782",1,0.6,NA,18,"RF_10","Correct consensus"
"783",2,0.9,0,18,"RF_10","Correct consensus"
"784",3,1,0,18,"RF_10","Correct consensus"
"785",4,1,1,18,"RF_10","Correct consensus"
"786",5,1,1,18,"RF_10","Correct consensus"
"787",6,1,1,18,"RF_10","Correct consensus"
"788",7,1,1,18,"RF_10","Correct consensus"
"789",8,1,1,18,"RF_10","Correct consensus"
"790",9,1,1,18,"RF_10","Correct consensus"
"791",10,1,1,18,"RF_10","Correct consensus"
"792",11,1,1,18,"RF_10","Correct consensus"
"793",12,1,1,18,"RF_10","Correct consensus"
"794",1,0.9,NA,19,"RF_10","Correct consensus"
"795",2,1,0,19,"RF_10","Correct consensus"
"796",3,1,1,19,"RF_10","Correct consensus"
"797",4,1,1,19,"RF_10","Correct consensus"
"798",5,1,1,19,"RF_10","Correct consensus"
"799",6,1,1,19,"RF_10","Correct consensus"
"800",7,1,1,19,"RF_10","Correct consensus"
"801",8,1,1,19,"RF_10","Correct consensus"
"802",9,1,1,19,"RF_10","Correct consensus"
"803",10,1,1,19,"RF_10","Correct consensus"
"804",11,1,1,19,"RF_10","Correct consensus"
"805",12,1,1,19,"RF_10","Correct consensus"
"806",1,0.6,NA,20,"RF_10","Correct consensus"
"807",2,1,0,20,"RF_10","Correct consensus"
"808",3,1,1,20,"RF_10","Correct consensus"
"809",4,1,1,20,"RF_10","Correct consensus"
"810",5,1,1,20,"RF_10","Correct consensus"
"811",6,1,1,20,"RF_10","Correct consensus"
"812",7,1,1,20,"RF_10","Correct consensus"
"813",8,1,1,20,"RF_10","Correct consensus"
"814",9,1,1,20,"RF_10","Correct consensus"
"815",10,1,1,20,"RF_10","Correct consensus"
"816",11,1,1,20,"RF_10","Correct consensus"
"817",12,1,1,20,"RF_10","Correct consensus"
"818",1,0.6,NA,21,"RF_10","Correct consensus"
"819",2,0.8,0,21,"RF_10","Correct consensus"
"820",3,1,0,21,"RF_10","Correct consensus"
"821",4,1,1,21,"RF_10","Correct consensus"
"822",5,1,1,21,"RF_10","Correct consensus"
"823",6,1,1,21,"RF_10","Correct consensus"
"824",7,1,1,21,"RF_10","Correct consensus"
"825",8,1,1,21,"RF_10","Correct consensus"
"826",9,1,1,21,"RF_10","Correct consensus"
"827",10,1,1,21,"RF_10","Correct consensus"
"828",11,1,1,21,"RF_10","Correct consensus"
"829",12,1,1,21,"RF_10","Correct consensus"
"830",1,0.7,NA,22,"RF_10","Correct consensus"
"831",2,1,0,22,"RF_10","Correct consensus"
"832",3,1,1,22,"RF_10","Correct consensus"
"833",4,1,1,22,"RF_10","Correct consensus"
"834",5,1,1,22,"RF_10","Correct consensus"
"835",6,1,1,22,"RF_10","Correct consensus"
"836",7,1,1,22,"RF_10","Correct consensus"
"837",8,1,1,22,"RF_10","Correct consensus"
"838",9,1,1,22,"RF_10","Correct consensus"
"839",10,1,1,22,"RF_10","Correct consensus"
"840",11,1,1,22,"RF_10","Correct consensus"
"841",12,1,1,22,"RF_10","Correct consensus"
"842",1,0.7,NA,23,"RF_10","Correct consensus"
"843",2,1,0,23,"RF_10","Correct consensus"
"844",3,1,1,23,"RF_10","Correct consensus"
"845",4,1,1,23,"RF_10","Correct consensus"
"846",5,1,1,23,"RF_10","Correct consensus"
"847",6,1,1,23,"RF_10","Correct consensus"
"848",7,1,1,23,"RF_10","Correct consensus"
"849",8,1,1,23,"RF_10","Correct consensus"
"850",9,1,1,23,"RF_10","Correct consensus"
"851",10,1,1,23,"RF_10","Correct consensus"
"852",11,1,1,23,"RF_10","Correct consensus"
"853",12,1,1,23,"RF_10","Correct consensus"
"854",1,0.6,NA,24,"RF_10","Correct consensus"
"855",2,1,0,24,"RF_10","Correct consensus"
"856",3,1,1,24,"RF_10","Correct consensus"
"857",4,1,1,24,"RF_10","Correct consensus"
"858",5,1,1,24,"RF_10","Correct consensus"
"859",6,1,1,24,"RF_10","Correct consensus"
"860",7,1,1,24,"RF_10","Correct consensus"
"861",8,1,1,24,"RF_10","Correct consensus"
"862",9,1,1,24,"RF_10","Correct consensus"
"863",10,1,1,24,"RF_10","Correct consensus"
"864",11,1,1,24,"RF_10","Correct consensus"
"865",12,1,1,24,"RF_10","Correct consensus"
"866",1,0.6,NA,1,"RGG_10","Correct consensus"
"867",2,0.8,0,1,"RGG_10","Correct consensus"
"868",3,1,0,1,"RGG_10","Correct consensus"
"869",4,1,1,1,"RGG_10","Correct consensus"
"870",5,1,1,1,"RGG_10","Correct consensus"
"871",6,1,1,1,"RGG_10","Correct consensus"
"872",7,1,1,1,"RGG_10","Correct consensus"
"873",8,1,1,1,"RGG_10","Correct consensus"
"874",9,1,1,1,"RGG_10","Correct consensus"
"875",10,1,1,1,"RGG_10","Correct consensus"
"876",11,1,1,1,"RGG_10","Correct consensus"
"877",12,1,1,1,"RGG_10","Correct consensus"
"878",1,0.9,NA,2,"RGG_10","Correct consensus"
"879",2,1,0,2,"RGG_10","Correct consensus"
"880",3,1,1,2,"RGG_10","Correct consensus"
"881",4,1,1,2,"RGG_10","Correct consensus"
"882",5,1,1,2,"RGG_10","Correct consensus"
"883",6,1,1,2,"RGG_10","Correct consensus"
"884",7,1,1,2,"RGG_10","Correct consensus"
"885",8,1,1,2,"RGG_10","Correct consensus"
"886",9,1,1,2,"RGG_10","Correct consensus"
"887",10,1,1,2,"RGG_10","Correct consensus"
"888",11,1,1,2,"RGG_10","Correct consensus"
"889",12,1,1,2,"RGG_10","Correct consensus"
"890",1,0.6,NA,3,"RGG_10","Correct consensus"
"891",2,0.8,0,3,"RGG_10","Correct consensus"
"892",3,1,0,3,"RGG_10","Correct consensus"
"893",4,1,1,3,"RGG_10","Correct consensus"
"894",5,1,1,3,"RGG_10","Correct consensus"
"895",6,1,1,3,"RGG_10","Correct consensus"
"896",7,1,1,3,"RGG_10","Correct consensus"
"897",8,1,1,3,"RGG_10","Correct consensus"
"898",9,1,1,3,"RGG_10","Correct consensus"
"899",10,1,1,3,"RGG_10","Correct consensus"
"900",11,1,1,3,"RGG_10","Correct consensus"
"901",12,1,1,3,"RGG_10","Correct consensus"
"902",1,0.7,NA,4,"RGG_10","Correct consensus"
"903",2,1,0,4,"RGG_10","Correct consensus"
"904",3,1,1,4,"RGG_10","Correct consensus"
"905",4,1,1,4,"RGG_10","Correct consensus"
"906",5,1,1,4,"RGG_10","Correct consensus"
"907",6,1,1,4,"RGG_10","Correct consensus"
"908",7,1,1,4,"RGG_10","Correct consensus"
"909",8,1,1,4,"RGG_10","Correct consensus"
"910",9,1,1,4,"RGG_10","Correct consensus"
"911",10,1,1,4,"RGG_10","Correct consensus"
"912",11,1,1,4,"RGG_10","Correct consensus"
"913",12,1,1,4,"RGG_10","Correct consensus"
"914",1,0.9,NA,5,"RGG_10","Correct consensus"
"915",2,1,0,5,"RGG_10","Correct consensus"
"916",3,1,1,5,"RGG_10","Correct consensus"
"917",4,1,1,5,"RGG_10","Correct consensus"
"918",5,1,1,5,"RGG_10","Correct consensus"
"919",6,1,1,5,"RGG_10","Correct consensus"
"920",7,1,1,5,"RGG_10","Correct consensus"
"921",8,1,1,5,"RGG_10","Correct consensus"
"922",9,1,1,5,"RGG_10","Correct consensus"
"923",10,1,1,5,"RGG_10","Correct consensus"
"924",11,1,1,5,"RGG_10","Correct consensus"
"925",12,1,1,5,"RGG_10","Correct consensus"
"926",1,0.7,NA,6,"RGG_10","Correct consensus"
"927",2,0.7,1,6,"RGG_10","Correct consensus"
"928",3,0.7,1,6,"RGG_10","Correct consensus"
"929",4,0.8,0,6,"RGG_10","Correct consensus"
"930",5,1,0,6,"RGG_10","Correct consensus"
"931",6,1,1,6,"RGG_10","Correct consensus"
"932",7,1,1,6,"RGG_10","Correct consensus"
"933",8,1,1,6,"RGG_10","Correct consensus"
"934",9,1,1,6,"RGG_10","Correct consensus"
"935",10,1,1,6,"RGG_10","Correct consensus"
"936",11,1,1,6,"RGG_10","Correct consensus"
"937",12,1,1,6,"RGG_10","Correct consensus"
"938",1,0.5,NA,7,"RGG_10","Breakdown"
"939",2,0.5,0,7,"RGG_10","Breakdown"
"940",3,0.3,0,7,"RGG_10","Breakdown"
"941",4,0.2,0,7,"RGG_10","Breakdown"
"942",5,0.2,1,7,"RGG_10","Breakdown"
"943",6,0.2,1,7,"RGG_10","Breakdown"
"944",7,0.2,1,7,"RGG_10","Breakdown"
"945",8,0.2,1,7,"RGG_10","Breakdown"
"946",9,0.2,1,7,"RGG_10","Breakdown"
"947",10,0.2,1,7,"RGG_10","Breakdown"
"948",11,0.2,1,7,"RGG_10","Breakdown"
"949",12,0.2,1,7,"RGG_10","Breakdown"
"950",1,0.9,NA,8,"RGG_10","Correct consensus"
"951",2,1,0,8,"RGG_10","Correct consensus"
"952",3,1,1,8,"RGG_10","Correct consensus"
"953",4,1,1,8,"RGG_10","Correct consensus"
"954",5,1,1,8,"RGG_10","Correct consensus"
"955",6,1,1,8,"RGG_10","Correct consensus"
"956",7,1,1,8,"RGG_10","Correct consensus"
"957",8,1,1,8,"RGG_10","Correct consensus"
"958",9,1,1,8,"RGG_10","Correct consensus"
"959",10,1,1,8,"RGG_10","Correct consensus"
"960",11,1,1,8,"RGG_10","Correct consensus"
"961",12,1,1,8,"RGG_10","Correct consensus"
"962",1,0.5,NA,9,"RGG_10","Correct consensus"
"963",2,0.6,0,9,"RGG_10","Correct consensus"
"964",3,0.7,0,9,"RGG_10","Correct consensus"
"965",4,0.7,1,9,"RGG_10","Correct consensus"
"966",5,0.7,1,9,"RGG_10","Correct consensus"
"967",6,0.8,0,9,"RGG_10","Correct consensus"
"968",7,0.9,0,9,"RGG_10","Correct consensus"
"969",8,1,0,9,"RGG_10","Correct consensus"
"970",9,1,1,9,"RGG_10","Correct consensus"
"971",10,1,1,9,"RGG_10","Correct consensus"
"972",11,1,1,9,"RGG_10","Correct consensus"
"973",12,1,1,9,"RGG_10","Correct consensus"
"974",1,0.7,NA,10,"RGG_10","Correct consensus"
"975",2,1,0,10,"RGG_10","Correct consensus"
"976",3,1,1,10,"RGG_10","Correct consensus"
"977",4,1,1,10,"RGG_10","Correct consensus"
"978",5,1,1,10,"RGG_10","Correct consensus"
"979",6,1,1,10,"RGG_10","Correct consensus"
"980",7,1,1,10,"RGG_10","Correct consensus"
"981",8,1,1,10,"RGG_10","Correct consensus"
"982",9,1,1,10,"RGG_10","Correct consensus"
"983",10,1,1,10,"RGG_10","Correct consensus"
"984",11,1,1,10,"RGG_10","Correct consensus"
"985",12,1,1,10,"RGG_10","Correct consensus"
"986",1,0.8,NA,11,"RGG_10","Correct consensus"
"987",2,1,0,11,"RGG_10","Correct consensus"
"988",3,1,1,11,"RGG_10","Correct consensus"
"989",4,1,1,11,"RGG_10","Correct consensus"
"990",5,1,1,11,"RGG_10","Correct consensus"
"991",6,1,1,11,"RGG_10","Correct consensus"
"992",7,1,1,11,"RGG_10","Correct consensus"
"993",8,1,1,11,"RGG_10","Correct consensus"
"994",9,1,1,11,"RGG_10","Correct consensus"
"995",10,1,1,11,"RGG_10","Correct consensus"
"996",11,1,1,11,"RGG_10","Correct consensus"
"997",12,1,1,11,"RGG_10","Correct consensus"
"998",1,0.7,NA,12,"RGG_10","Breakdown"
"999",2,0.8,0,12,"RGG_10","Breakdown"
"1000",3,0.8,1,12,"RGG_10","Breakdown"
"1001",4,0.8,1,12,"RGG_10","Breakdown"
"1002",5,0.8,1,12,"RGG_10","Breakdown"
"1003",6,0.8,1,12,"RGG_10","Breakdown"
"1004",7,0.8,1,12,"RGG_10","Breakdown"
"1005",8,0.8,1,12,"RGG_10","Breakdown"
"1006",9,0.8,1,12,"RGG_10","Breakdown"
"1007",10,0.8,1,12,"RGG_10","Breakdown"
"1008",11,0.8,1,12,"RGG_10","Breakdown"
"1009",12,0.8,1,12,"RGG_10","Breakdown"
"1010",1,0.8,NA,13,"RGG_10","Correct consensus"
"1011",2,1,0,13,"RGG_10","Correct consensus"
"1012",3,1,1,13,"RGG_10","Correct consensus"
"1013",4,1,1,13,"RGG_10","Correct consensus"
"1014",5,1,1,13,"RGG_10","Correct consensus"
"1015",6,1,1,13,"RGG_10","Correct consensus"
"1016",7,1,1,13,"RGG_10","Correct consensus"
"1017",8,1,1,13,"RGG_10","Correct consensus"
"1018",9,1,1,13,"RGG_10","Correct consensus"
"1019",10,1,1,13,"RGG_10","Correct consensus"
"1020",11,1,1,13,"RGG_10","Correct consensus"
"1021",12,1,1,13,"RGG_10","Correct consensus"
"1022",1,0.9,NA,14,"RGG_10","Correct consensus"
"1023",2,1,0,14,"RGG_10","Correct consensus"
"1024",3,1,1,14,"RGG_10","Correct consensus"
"1025",4,1,1,14,"RGG_10","Correct consensus"
"1026",5,1,1,14,"RGG_10","Correct consensus"
"1027",6,1,1,14,"RGG_10","Correct consensus"
"1028",7,1,1,14,"RGG_10","Correct consensus"
"1029",8,1,1,14,"RGG_10","Correct consensus"
"1030",9,1,1,14,"RGG_10","Correct consensus"
"1031",10,1,1,14,"RGG_10","Correct consensus"
"1032",11,1,1,14,"RGG_10","Correct consensus"
"1033",12,1,1,14,"RGG_10","Correct consensus"
"1034",1,0.8,NA,15,"RGG_10","Correct consensus"
"1035",2,1,0,15,"RGG_10","Correct consensus"
"1036",3,1,1,15,"RGG_10","Correct consensus"
"1037",4,1,1,15,"RGG_10","Correct consensus"
"1038",5,1,1,15,"RGG_10","Correct consensus"
"1039",6,1,1,15,"RGG_10","Correct consensus"
"1040",7,1,1,15,"RGG_10","Correct consensus"
"1041",8,1,1,15,"RGG_10","Correct consensus"
"1042",9,1,1,15,"RGG_10","Correct consensus"
"1043",10,1,1,15,"RGG_10","Correct consensus"
"1044",11,1,1,15,"RGG_10","Correct consensus"
"1045",12,1,1,15,"RGG_10","Correct consensus"
"1046",1,0.9,NA,16,"RGG_10","Correct consensus"
"1047",2,1,0,16,"RGG_10","Correct consensus"
"1048",3,1,1,16,"RGG_10","Correct consensus"
"1049",4,1,1,16,"RGG_10","Correct consensus"
"1050",5,1,1,16,"RGG_10","Correct consensus"
"1051",6,1,1,16,"RGG_10","Correct consensus"
"1052",7,1,1,16,"RGG_10","Correct consensus"
"1053",8,1,1,16,"RGG_10","Correct consensus"
"1054",9,1,1,16,"RGG_10","Correct consensus"
"1055",10,1,1,16,"RGG_10","Correct consensus"
"1056",11,1,1,16,"RGG_10","Correct consensus"
"1057",12,1,1,16,"RGG_10","Correct consensus"
"1058",1,0.8,NA,17,"RGG_10","Correct consensus"
"1059",2,1,0,17,"RGG_10","Correct consensus"
"1060",3,1,1,17,"RGG_10","Correct consensus"
"1061",4,1,1,17,"RGG_10","Correct consensus"
"1062",5,1,1,17,"RGG_10","Correct consensus"
"1063",6,1,1,17,"RGG_10","Correct consensus"
"1064",7,1,1,17,"RGG_10","Correct consensus"
"1065",8,1,1,17,"RGG_10","Correct consensus"
"1066",9,1,1,17,"RGG_10","Correct consensus"
"1067",10,1,1,17,"RGG_10","Correct consensus"
"1068",11,1,1,17,"RGG_10","Correct consensus"
"1069",12,1,1,17,"RGG_10","Correct consensus"
"1070",1,0.6,NA,18,"RGG_10","Correct consensus"
"1071",2,0.9,0,18,"RGG_10","Correct consensus"
"1072",3,1,0,18,"RGG_10","Correct consensus"
"1073",4,1,1,18,"RGG_10","Correct consensus"
"1074",5,1,1,18,"RGG_10","Correct consensus"
"1075",6,1,1,18,"RGG_10","Correct consensus"
"1076",7,1,1,18,"RGG_10","Correct consensus"
"1077",8,1,1,18,"RGG_10","Correct consensus"
"1078",9,1,1,18,"RGG_10","Correct consensus"
"1079",10,1,1,18,"RGG_10","Correct consensus"
"1080",11,1,1,18,"RGG_10","Correct consensus"
"1081",12,1,1,18,"RGG_10","Correct consensus"
"1082",1,0.9,NA,19,"RGG_10","Correct consensus"
"1083",2,1,0,19,"RGG_10","Correct consensus"
"1084",3,1,1,19,"RGG_10","Correct consensus"
"1085",4,1,1,19,"RGG_10","Correct consensus"
"1086",5,1,1,19,"RGG_10","Correct consensus"
"1087",6,1,1,19,"RGG_10","Correct consensus"
"1088",7,1,1,19,"RGG_10","Correct consensus"
"1089",8,1,1,19,"RGG_10","Correct consensus"
"1090",9,1,1,19,"RGG_10","Correct consensus"
"1091",10,1,1,19,"RGG_10","Correct consensus"
"1092",11,1,1,19,"RGG_10","Correct consensus"
"1093",12,1,1,19,"RGG_10","Correct consensus"
"1094",1,0.6,NA,20,"RGG_10","Breakdown"
"1095",2,0.6,0,20,"RGG_10","Breakdown"
"1096",3,0.7,0,20,"RGG_10","Breakdown"
"1097",4,0.8,0,20,"RGG_10","Breakdown"
"1098",5,0.8,1,20,"RGG_10","Breakdown"
"1099",6,0.8,1,20,"RGG_10","Breakdown"
"1100",7,0.8,1,20,"RGG_10","Breakdown"
"1101",8,0.8,1,20,"RGG_10","Breakdown"
"1102",9,0.8,1,20,"RGG_10","Breakdown"
"1103",10,0.8,1,20,"RGG_10","Breakdown"
"1104",11,0.8,1,20,"RGG_10","Breakdown"
"1105",12,0.8,1,20,"RGG_10","Breakdown"
"1106",1,0.6,NA,21,"RGG_10","Breakdown"
"1107",2,0.6,0,21,"RGG_10","Breakdown"
"1108",3,0.8,0,21,"RGG_10","Breakdown"
"1109",4,0.8,1,21,"RGG_10","Breakdown"
"1110",5,0.8,1,21,"RGG_10","Breakdown"
"1111",6,0.8,1,21,"RGG_10","Breakdown"
"1112",7,0.8,1,21,"RGG_10","Breakdown"
"1113",8,0.8,1,21,"RGG_10","Breakdown"
"1114",9,0.8,1,21,"RGG_10","Breakdown"
"1115",10,0.8,1,21,"RGG_10","Breakdown"
"1116",11,0.8,1,21,"RGG_10","Breakdown"
"1117",12,0.8,1,21,"RGG_10","Breakdown"
"1118",1,0.7,NA,22,"RGG_10","Correct consensus"
"1119",2,0.9,0,22,"RGG_10","Correct consensus"
"1120",3,1,0,22,"RGG_10","Correct consensus"
"1121",4,1,1,22,"RGG_10","Correct consensus"
"1122",5,1,1,22,"RGG_10","Correct consensus"
"1123",6,1,1,22,"RGG_10","Correct consensus"
"1124",7,1,1,22,"RGG_10","Correct consensus"
"1125",8,1,1,22,"RGG_10","Correct consensus"
"1126",9,1,1,22,"RGG_10","Correct consensus"
"1127",10,1,1,22,"RGG_10","Correct consensus"
"1128",11,1,1,22,"RGG_10","Correct consensus"
"1129",12,1,1,22,"RGG_10","Correct consensus"
"1130",1,0.7,NA,23,"RGG_10","Correct consensus"
"1131",2,1,0,23,"RGG_10","Correct consensus"
"1132",3,1,1,23,"RGG_10","Correct consensus"
"1133",4,1,1,23,"RGG_10","Correct consensus"
"1134",5,1,1,23,"RGG_10","Correct consensus"
"1135",6,1,1,23,"RGG_10","Correct consensus"
"1136",7,1,1,23,"RGG_10","Correct consensus"
"1137",8,1,1,23,"RGG_10","Correct consensus"
"1138",9,1,1,23,"RGG_10","Correct consensus"
"1139",10,1,1,23,"RGG_10","Correct consensus"
"1140",11,1,1,23,"RGG_10","Correct consensus"
"1141",12,1,1,23,"RGG_10","Correct consensus"
"1142",1,0.6,NA,24,"RGG_10","Correct consensus"
"1143",2,0.7,0,24,"RGG_10","Correct consensus"
"1144",3,0.7,1,24,"RGG_10","Correct consensus"
"1145",4,0.8,0,24,"RGG_10","Correct consensus"
"1146",5,1,0,24,"RGG_10","Correct consensus"
"1147",6,1,1,24,"RGG_10","Correct consensus"
"1148",7,1,1,24,"RGG_10","Correct consensus"
"1149",8,1,1,24,"RGG_10","Correct consensus"
"1150",9,1,1,24,"RGG_10","Correct consensus"
"1151",10,1,1,24,"RGG_10","Correct consensus"
"1152",11,1,1,24,"RGG_10","Correct consensus"
"1153",12,1,1,24,"RGG_10","Correct consensus"
"1154",1,0.7,NA,1,"ER_partial","Correct consensus"
"1155",2,1,0,1,"ER_partial","Correct consensus"
"1156",3,1,1,1,"ER_partial","Correct consensus"
"1157",4,1,1,1,"ER_partial","Correct consensus"
"1158",5,1,1,1,"ER_partial","Correct consensus"
"1159",6,1,1,1,"ER_partial","Correct consensus"
"1160",7,1,1,1,"ER_partial","Correct consensus"
"1161",8,1,1,1,"ER_partial","Correct consensus"
"1162",9,1,1,1,"ER_partial","Correct consensus"
"1163",10,1,1,1,"ER_partial","Correct consensus"
"1164",11,1,1,1,"ER_partial","Correct consensus"
"1165",12,1,1,1,"ER_partial","Correct consensus"
"1166",1,0.6,NA,2,"ER_partial","Correct consensus"
"1167",2,0.7,0,2,"ER_partial","Correct consensus"
"1168",3,1,0,2,"ER_partial","Correct consensus"
"1169",4,1,1,2,"ER_partial","Correct consensus"
"1170",5,1,1,2,"ER_partial","Correct consensus"
"1171",6,1,1,2,"ER_partial","Correct consensus"
"1172",7,1,1,2,"ER_partial","Correct consensus"
"1173",8,1,1,2,"ER_partial","Correct consensus"
"1174",9,1,1,2,"ER_partial","Correct consensus"
"1175",10,1,1,2,"ER_partial","Correct consensus"
"1176",11,1,1,2,"ER_partial","Correct consensus"
"1177",12,1,1,2,"ER_partial","Correct consensus"
"1178",1,0.75,NA,3,"ER_partial","Correct consensus"
"1179",2,1,0,3,"ER_partial","Correct consensus"
"1180",3,1,1,3,"ER_partial","Correct consensus"
"1181",4,1,1,3,"ER_partial","Correct consensus"
"1182",5,1,1,3,"ER_partial","Correct consensus"
"1183",6,1,1,3,"ER_partial","Correct consensus"
"1184",7,1,1,3,"ER_partial","Correct consensus"
"1185",8,1,1,3,"ER_partial","Correct consensus"
"1186",9,1,1,3,"ER_partial","Correct consensus"
"1187",10,1,1,3,"ER_partial","Correct consensus"
"1188",11,1,1,3,"ER_partial","Correct consensus"
"1189",12,1,1,3,"ER_partial","Correct consensus"
"1190",1,0.55,NA,4,"ER_partial","Correct consensus"
"1191",2,0.8,0,4,"ER_partial","Correct consensus"
"1192",3,1,0,4,"ER_partial","Correct consensus"
"1193",4,1,1,4,"ER_partial","Correct consensus"
"1194",5,1,1,4,"ER_partial","Correct consensus"
"1195",6,1,1,4,"ER_partial","Correct consensus"
"1196",7,1,1,4,"ER_partial","Correct consensus"
"1197",8,1,1,4,"ER_partial","Correct consensus"
"1198",9,1,1,4,"ER_partial","Correct consensus"
"1199",10,1,1,4,"ER_partial","Correct consensus"
"1200",11,1,1,4,"ER_partial","Correct consensus"
"1201",12,1,1,4,"ER_partial","Correct consensus"
"1202",1,0.7,NA,5,"ER_partial","Correct consensus"
"1203",2,0.9,0,5,"ER_partial","Correct consensus"
"1204",3,1,0,5,"ER_partial","Correct consensus"
"1205",4,1,1,5,"ER_partial","Correct consensus"
"1206",5,1,1,5,"ER_partial","Correct consensus"
"1207",6,1,1,5,"ER_partial","Correct consensus"
"1208",7,1,1,5,"ER_partial","Correct consensus"
"1209",8,1,1,5,"ER_partial","Correct consensus"
"1210",9,1,1,5,"ER_partial","Correct consensus"
"1211",10,1,1,5,"ER_partial","Correct consensus"
"1212",11,1,1,5,"ER_partial","Correct consensus"
"1213",12,1,1,5,"ER_partial","Correct consensus"
"1214",1,0.6,NA,6,"ER_partial","Correct consensus"
"1215",2,0.8,0,6,"ER_partial","Correct consensus"
"1216",3,1,0,6,"ER_partial","Correct consensus"
"1217",4,1,1,6,"ER_partial","Correct consensus"
"1218",5,1,1,6,"ER_partial","Correct consensus"
"1219",6,1,1,6,"ER_partial","Correct consensus"
"1220",7,1,1,6,"ER_partial","Correct consensus"
"1221",8,1,1,6,"ER_partial","Correct consensus"
"1222",9,1,1,6,"ER_partial","Correct consensus"
"1223",10,1,1,6,"ER_partial","Correct consensus"
"1224",11,1,1,6,"ER_partial","Correct consensus"
"1225",12,1,1,6,"ER_partial","Correct consensus"
"1226",1,0.75,NA,7,"ER_partial","Correct consensus"
"1227",2,0.9,0,7,"ER_partial","Correct consensus"
"1228",3,1,0,7,"ER_partial","Correct consensus"
"1229",4,1,1,7,"ER_partial","Correct consensus"
"1230",5,1,1,7,"ER_partial","Correct consensus"
"1231",6,1,1,7,"ER_partial","Correct consensus"
"1232",7,1,1,7,"ER_partial","Correct consensus"
"1233",8,1,1,7,"ER_partial","Correct consensus"
"1234",9,1,1,7,"ER_partial","Correct consensus"
"1235",10,1,1,7,"ER_partial","Correct consensus"
"1236",11,1,1,7,"ER_partial","Correct consensus"
"1237",12,1,1,7,"ER_partial","Correct consensus"
"1238",1,0.65,NA,8,"ER_partial","Correct consensus"
"1239",2,0.7,0,8,"ER_partial","Correct consensus"
"1240",3,0.8,0,8,"ER_partial","Correct consensus"
"1241",4,0.9,0,8,"ER_partial","Correct consensus"
"1242",5,1,0,8,"ER_partial","Correct consensus"
"1243",6,1,1,8,"ER_partial","Correct consensus"
"1244",7,1,1,8,"ER_partial","Correct consensus"
"1245",8,1,1,8,"ER_partial","Correct consensus"
"1246",9,1,1,8,"ER_partial","Correct consensus"
"1247",10,1,1,8,"ER_partial","Correct consensus"
"1248",11,1,1,8,"ER_partial","Correct consensus"
"1249",12,1,1,8,"ER_partial","Correct consensus"
"1250",1,0.8,NA,9,"ER_partial","Correct consensus"
"1251",2,0.9,0,9,"ER_partial","Correct consensus"
"1252",3,1,0,9,"ER_partial","Correct consensus"
"1253",4,1,1,9,"ER_partial","Correct consensus"
"1254",5,1,1,9,"ER_partial","Correct consensus"
"1255",6,1,1,9,"ER_partial","Correct consensus"
"1256",7,1,1,9,"ER_partial","Correct consensus"
"1257",8,1,1,9,"ER_partial","Correct consensus"
"1258",9,1,1,9,"ER_partial","Correct consensus"
"1259",10,1,1,9,"ER_partial","Correct consensus"
"1260",11,1,1,9,"ER_partial","Correct consensus"
"1261",12,1,1,9,"ER_partial","Correct consensus"
"1262",1,0.7,NA,10,"ER_partial","Correct consensus"
"1263",2,0.9,0,10,"ER_partial","Correct consensus"
"1264",3,1,0,10,"ER_partial","Correct consensus"
"1265",4,1,1,10,"ER_partial","Correct consensus"
"1266",5,1,1,10,"ER_partial","Correct consensus"
"1267",6,1,1,10,"ER_partial","Correct consensus"
"1268",7,1,1,10,"ER_partial","Correct consensus"
